zone,hour,cluster,count
15635,12,MON,830
15635,13,MON,779
15635,14,MON,800
15635,15,MON,882
15635,16,MON,918
15635,17,MON,1008
15635,18,MON,1040
15635,19,MON,1031
15635,20,MON,983
15635,21,MON,955
15635,22,MON,854
15635,23,MON,793
15635,0,MON,758
15636,1,MON,2649
15636,2,MON,2357
15636,3,MON,2382
15636,4,MON,2633
15636,5,MON,3040
15636,6,MON,3386
15636,7,MON,3167
15636,8,MON,2742
15636,9,MON,2621
15636,10,MON,2545
15636,11,MON,2579
15636,12,MON,2576
15636,13,MON,2571
15636,14,MON,2673
15636,15,MON,2810
15636,16,MON,2936
15636,17,MON,3224
15636,18,MON,3567
15636,19,MON,3664
15636,20,MON,3626
15636,21,MON,3540
15636,22,MON,3293
15636,23,MON,3053
15636,0,MON,2920
15637,1,MON,2713
15637,2,MON,2407
15637,3,MON,2540
15637,4,MON,2784
15637,5,MON,3349
15637,6,MON,3942
15637,7,MON,3921
15637,8,MON,3478
15637,9,MON,3387
15637,10,MON,3395
15637,11,MON,3415
15637,12,MON,3438
15637,13,MON,3439
15637,14,MON,3526
15637,15,MON,3821
15637,16,MON,3932
15637,17,MON,4126
15637,18,MON,4139
15637,19,MON,3959
15637,20,MON,3879
15637,21,MON,3630
15637,22,MON,3343
15637,23,MON,3091
15637,0,MON,2959
15638,1,MON,4252
15638,2,MON,3722
15638,3,MON,3742
15638,4,MON,4260
15638,5,MON,5002
15638,6,MON,5819
15638,7,MON,6459
15638,8,MON,6563
15638,9,MON,6926
15638,10,MON,7282
15638,11,MON,7435
15638,12,MON,7633
15638,13,MON,7538
15638,14,MON,7546
15638,15,MON,7668
15638,16,MON,7744
15638,17,MON,7660
15638,18,MON,7372
15638,19,MON,6684
15638,20,MON,6168
15638,21,MON,5775
15638,22,MON,5304
15638,23,MON,4870
15638,0,MON,4743
15643,1,MON,1743
15643,2,MON,1486
15643,3,MON,1574
15643,4,MON,1762
15643,5,MON,2046
15643,6,MON,2315
15643,7,MON,2208
15643,8,MON,1899
15643,9,MON,1815
15643,10,MON,1720
15643,11,MON,1659
15643,12,MON,1698
15643,13,MON,1719
15643,14,MON,1835
15643,15,MON,1931
15643,16,MON,2072
